002432 3879220
601500 3767904
002600 3728907
300457 2866878
300701 2686629
300565 2589236
603066 2548800
002899 2166684
300547 1996600
000422 1874320
002826 1807306
300500 1768203
000899 1699830
002679 1630125
002229 3654300
002548 3020018
000809 2001258
600467 1857060
2017/10/17 9:25
002839 11376668
603157 9413456
603955 6320790
002432 4623360
603117 3151156
603888 2713785
300457 2103400
603817 1984000
603200 1858204
600552 1708495
002839 4427466
002722 3100500
603609 3093180
002856 2084000
600624 1830966
603789 1802780
2017/10/18 9:25
601127 9574800
300536 8923200
002752 4884570
300500 3196619
600716 2913808
002901 2717346
300277 2382600
300295 2145200
603797 2031568
300457 1872720
300277 3616797
603117 3067740
600716 2311248
002120 2071080
600313 2014925
2017/10/19 9:25
300500 3832380
002670 3083165
300698 2654560
002150 2602721
002899 2428416
603797 2405208
300457 2336240
002893 1878670
300354 1862640
300112 1677874
300520 1648489
002229 2540000
300678 2404328
002818 2346082
300495 2297550
300075 1820950
2017/10/20 9:25
603559 4430400
000010 4281708
300645 3548670
300295 3015620
603378 2396394
300457 2135741
600345 2112964
000755 1993668
600706 1869026
002889 1864200
002656 1698400
002432 1682040
300701 1657260
603918 4513500
600706 2973481
300527 2310350
2017/10/23 9:25
002839 16299295
300649 8716743
601086 6272500
002729 6029100
603197 5885000
300629 2056860
300439 1950400
002510 1781175
002761 1716795
002899 1653864
002839 6134974
603363 4333384
300295 2746700
300439 2349578
300278 1953160
2017/10/24 9:25
002807 10260918
002395 5665824
603189 1807338
300013 1720452
000151 1647796
601228 2929101
300117 2799135
300502 2386970
300277 2092206
300247 1941570
2017/10/25 9:25
603103 12616800
300707 10329800
002729 6399000
002170 4110150
603079 2570500
000529 2400178
603833 2280000
300697 2182630
600397 2003328
300637 1954428
000010 1818446
603777 1627305
002432 2138750
2017/10/26 9:25
603648 7320559
002309 5308410
300678 2792160
300641 1689100
300364 11950962
002877 11008365
002377 4515544
002830 1911000
300401 1872000
002077 1818410
2017/10/27 9:25
300609 7906204
300700 4449600
600605 3289059
002693 2731008
002898 2715558
600926 2462720
300425 2325714
002867 2202870
002846 2158356
300277 1613300
600561 8047125
603305 2402364
600186 2346266
300617 2344620
603335 1997872
603309 1916010
2017/10/30 9:25
600802 8085042
603626 5476354
300406 4952484
002166 3921372
300500 3124896
002377 2297229
300295 2235853
002876 2213700
300130 1939600
603933 1915950
300665 1664416
300425 1610165
603035 5664080
300665 3836000
603383 2752750
002846 2446408
300277 2187603
300666 1972008
2017/10/31 9:25
000893 8902740
603880 3910680
300706 3226300
002830 3190600
002387 1895344
002846 1757934
601100 1676600
600731 3020388
300495 2520300
000633 2039700
002843 1973655
2017/11/01 9:25
300653 8195340
603922 6735540
300706 3705600
002629 3439620
603829 3158100
300691 2970370
300700 2387100
603499 2338400
002877 2084520
300597 1635840
300707 7776668
002132 3554160
002401 2786958
600538 1811160
2017/11/02 9:25
603501 14034572
002719 5446154
002839 5340405
002401 3284938
300386 3245496
300425 2791872
002417 2600000
601127 2373360
600714 2162000
603797 1742048
002052 3556618
300209 2442605
603536 2209060
002546 1863000
300649 1810280
2017/11/03 9:25


2017/11/06 9:25
002880 3445200
603499 2712440
000670 2571400
300709 2441450
002903 2400542
300619 2368800
002367 2345112
002006 1908555
300130 1898800
000010 1775408
002194 1681894
300635 5227695
601326 2945404
603683 2782710
002884 1953336
2017/11/07 9:25
603533 6677400
300671 3256689
002877 3246480
300638 3123750
300415 2215824
300623 2126800
002387 2082836
600740 2076645
603929 2038743
002830 1818675
300659 1753380
002141 1734061
002901 1674400
002323 1605520
000816 10019079
002903 7585100
2017/11/08 9:25
603466 10160299
300700 7263375
300596 3488316
002903 3141600
300520 2357640
600090 2049430
600532 2017728
002502 2981475
2017/11/09 9:25
603320 7774440
300677 4716846
002887 4425096
603500 2856400
002667 2540060
002502 2193387
300613 2182907
000532 1884645
603386 1810300
600747 6472733
300099 3765000
601015 3658620
603081 2453760
002770 2344896
2017/11/10 9:25
002830 3855289
300685 3212845
603501 3164645
002903 3080500
300688 2979900
603357 2097113
002377 1636352
002618 3312500
002772 2444400
2017/11/13 9:25
603607 6629050
300657 4252485
603929 3825500
002886 3309980
300534 3294014
603357 3013794
000670 2574922
002850 2349580
300672 2122598
600275 2044952
300571 2003100
600784 1923000
002812 1827450
300709 1804000
603626 3456900
002858 2196821
300493 2071260
300360 1844672
